Dataset,Setup,Mean,Std
Cora,Raw Features (No SVD),84.9,0.55
Cora,SVD-Enhanced (Adaptive),84.9,0.55
CiteSeer,Raw Features (No SVD),71.5,0.63
CiteSeer,SVD-Enhanced (Adaptive),71.5,0.63
PubMed,Raw Features (No SVD),80.54,0.36
PubMed,SVD-Enhanced (Adaptive),80.94,0.19
Computers,Raw Features (No SVD),89.44,0.31
Computers,SVD-Enhanced (Adaptive),89.64,0.29
Photo,Raw Features (No SVD),93.25,0.11
Photo,SVD-Enhanced (Adaptive),93.64,0.07
CS,Raw Features (No SVD),94.24,0.05
CS,SVD-Enhanced (Adaptive),94.26,0.07
